toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,4748.204147505827,7016.269655,0.021367521367521368,0.017094017094017096,0.2367100492100492,0.23711473711473713,-0.24617845117845122,-0.245,372.04739704739706,baseline__A_0.08__k_4.0__h_1,False,0.08,4.0,1
medium_toxicity,7722,4641.430811071614,7012.38164,0.02292152292152292,0.021885521885521887,0.27913752913752915,0.27993071743071746,-0.2491907514450867,-0.25,360.6578606578607,baseline__A_0.08__k_4.0__h_1,False,0.08,4.0,1
high_toxicity,7956,3762.6624618476626,6969.909765,0.030291603821015586,0.03720462543991956,0.43192244846656613,0.4292829311211664,-0.2559683426443203,-0.255,337.0160884866767,baseline__A_0.08__k_4.0__h_1,False,0.08,4.0,1
