toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,4802.183254917768,7122.979875,0.03237503237503238,0.027454027454027453,0.24734524734524735,0.2471024346024346,-0.16536796536796539,-0.165,352.35690235690237,baseline__A_0.12__k_6.0__h_1,False,0.12,6.0,1
medium_toxicity,7722,4689.075486573427,7140.841935,0.03392903392903393,0.03224553224553225,0.27688746438746437,0.2781986531986532,-0.16736790606653618,-0.165,342.1684796684797,baseline__A_0.12__k_6.0__h_1,False,0.12,6.0,1
high_toxicity,7956,3787.7666080266463,7161.051225,0.04524886877828054,0.05128205128205128,0.42029600301659126,0.4171380090497738,-0.17416015625,-0.175,325.0471342383107,baseline__A_0.12__k_6.0__h_1,False,0.12,6.0,1
