toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,2362.675377816628,3317.15384,0.021238021238021237,0.016964516964516965,0.11695480445480445,0.119010619010619,-0.12218644067796611,-0.125,369.76171976171975,baseline__A_0.08__k_8.0__h_5,False,0.08,8.0,5
medium_toxicity,7722,2294.945662133515,3291.987935,0.022144522144522144,0.021885521885521887,0.13532763532763534,0.1391964516964517,-0.12279411764705882,-0.125,359.9002849002849,baseline__A_0.08__k_8.0__h_5,False,0.08,8.0,5
high_toxicity,7956,1826.4983730800654,3236.391,0.029537456008044242,0.03607340372046254,0.21552916038210157,0.2157648315736551,-0.1306704980842912,-0.135,336.2682252388135,baseline__A_0.08__k_8.0__h_5,False,0.08,8.0,5
