toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,2362.675377816628,3317.15384,0.021238021238021237,0.016964516964516965,0.11703574203574203,0.119010619010619,-0.12254237288135596,-0.125,369.76171976171975,baseline__A_0.08__k_8.0__h_3,False,0.08,8.0,3
medium_toxicity,7722,2294.945662133515,3291.987935,0.022144522144522144,0.021885521885521887,0.13662263662263663,0.1391964516964517,-0.12411764705882354,-0.125,359.9002849002849,baseline__A_0.08__k_8.0__h_3,False,0.08,8.0,3
high_toxicity,7956,1826.4983730800654,3236.391,0.029537456008044242,0.03607340372046254,0.21859288587229764,0.2157648315736551,-0.1331896551724138,-0.135,336.2682252388135,baseline__A_0.08__k_8.0__h_3,False,0.08,8.0,3
