toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,3129.8088766155142,4516.745095,0.014245014245014245,0.011137011137011137,0.1543965293965294,0.15656565656565657,-0.24331632653061222,-0.245,354.6037296037296,baseline__A_0.05__k_4.0__h_5,False,0.05,4.0,5
medium_toxicity,7722,3049.9533734265733,4508.800945,0.013986013986013986,0.012691012691012691,0.16295972545972545,0.16644004144004143,-0.24434466019417475,-0.245,337.23128723128724,baseline__A_0.05__k_4.0__h_5,False,0.05,4.0,5
high_toxicity,7956,2473.8973697115384,4471.675945,0.01897938662644545,0.024635495223730517,0.2778720462543992,0.27724358974358976,-0.25484149855907784,-0.255,319.87179487179486,baseline__A_0.05__k_4.0__h_5,False,0.05,4.0,5
