toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,1581.0919242994041,2216.18718,0.014115514115514115,0.011007511007511007,0.07726301476301477,0.07836376586376587,-0.12301546391752578,-0.125,357.02538202538204,baseline__A_0.05__k_8.0__h_3,False,0.05,8.0,3
medium_toxicity,7722,1524.6094925045325,2204.24315,0.014115514115514115,0.012432012432012432,0.08190883190883191,0.08422364672364673,-0.12341463414634146,-0.125,341.0094535094535,baseline__A_0.05__k_8.0__h_3,False,0.05,8.0,3
high_toxicity,7956,1194.8532099007039,2170.49315,0.018350930115636,0.024258421317244847,0.14259678230266465,0.14011437908496732,-0.13376106194690265,-0.135,324.5537958773253,baseline__A_0.05__k_8.0__h_3,False,0.05,8.0,3
