toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,3172.887749648407,4577.96195,0.021238021238021237,0.016705516705516704,0.15494690494690494,0.15684084434084433,-0.1633447098976109,-0.165,359.66718466718464,baseline__A_0.08__k_6.0__h_3,False,0.08,6.0,3
medium_toxicity,7722,3091.0670453904427,4561.796025,0.022662522662522663,0.021885521885521887,0.18353405853405855,0.18675537425537425,-0.16479651162790698,-0.165,348.22908572908574,baseline__A_0.08__k_6.0__h_3,False,0.08,6.0,3
high_toxicity,7956,2486.0419746549774,4517.32411,0.029914529914529916,0.03682755153343389,0.2911481900452489,0.28816302161890395,-0.1744915254237288,-0.175,325.2796631473102,baseline__A_0.08__k_6.0__h_3,False,0.08,6.0,3
