toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,2646.9007998840975,3811.820235,0.01528101528101528,0.011525511525511525,0.11013986013986014,0.11051217301217302,-0.1643478260869565,-0.165,328.982128982129,hawkes__A_0.05__k_6.0__h_5,True,0.05,6.0,5
medium_toxicity,7722,2596.311072576405,3820.820235,0.014763014763014764,0.013856513856513857,0.11778036778036778,0.11795843045843046,-0.1645701357466063,-0.165,335.1916601916602,hawkes__A_0.05__k_6.0__h_5,True,0.05,6.0,5
high_toxicity,7956,1962.559936907994,3800.570235,0.021493212669683258,0.026772247360482653,0.19779097536450477,0.19920500251382603,-0.16391927083333332,-0.165,274.4218200100553,hawkes__A_0.05__k_6.0__h_5,True,0.05,6.0,5
