toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,3587.2126542968144,5341.11463,0.03211603211603212,0.027195027195027196,0.18476430976430977,0.18452149702149703,-0.1246069868995633,-0.125,362.8108003108003,baseline__A_0.12__k_8.0__h_1,False,0.12,8.0,1
medium_toxicity,7722,3495.0875069567473,5358.97673,0.03405853405853406,0.031727531727531726,0.20742683242683244,0.20865708365708366,-0.12612204724409448,-0.125,350.475912975913,baseline__A_0.12__k_8.0__h_1,False,0.12,8.0,1
high_toxicity,7956,2797.529120539216,5382.93596,0.04411764705882353,0.05052790346907994,0.31490384615384615,0.31169871794871795,-0.13307436918990703,-0.135,330.2664655605832,baseline__A_0.12__k_8.0__h_1,False,0.12,8.0,1
