toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,3668.9643063597514,5423.18133,0.015151515151515152,0.011525511525511525,0.1632996632996633,0.1642061642061642,-0.24485436893203882,-0.245,322.6819476819477,hawkes__A_0.05__k_4.0__h_5,True,0.05,4.0,5
medium_toxicity,7722,3593.865643067858,5430.68133,0.014892514892514893,0.013468013468013467,0.17414529914529914,0.17463092463092464,-0.24561643835616437,-0.245,327.0881895881896,hawkes__A_0.05__k_4.0__h_5,True,0.05,4.0,5
high_toxicity,7956,2743.321119795123,5413.80633,0.021241830065359478,0.026772247360482653,0.294746103569633,0.29663147310206134,-0.24554973821989529,-0.245,269.9409250879839,hawkes__A_0.05__k_4.0__h_5,True,0.05,4.0,5
