model_type,mean_final_mtm_pnl,median_final_mtm_pnl,mean_risk_adjusted_score,mean_avg_markout_all_fills,mean_total_adverse_selection_cost,mean_fill_count_total,mean_p99_latency_us
baseline,5283.09866,4517.32411,5083.7033270623615,-0.18246103831943666,5565.689814814815,1216.7777777777778,0.10614925925925925
hawkes,6117.259875000001,5463.57081,5933.941259840932,-0.17850139542159482,5891.944444444444,1319.2222222222222,0.10788962962962963
