use_hawkes,toxicity_regime,avg_markout,mean_pnl,avg_adverse_selection_cost,fill_rate_bid,fill_rate_ask,mean_inventory_abs,model_type
False,high_toxicity,-0.18753285911982773,2852.4798314756163,0.3229405247379103,0.031213340036869413,0.03742807664376287,327.19470979274905,baseline
False,low_toxicity,-0.1773147435205693,3628.2883553830325,0.1826131687242798,0.022590578146133657,0.018518518518518465,359.57689429911653,baseline
False,medium_toxicity,-0.17914460773085422,3538.084175419365,0.20541778180667067,0.023540245762467944,0.022202077757633255,346.90314829203714,baseline
True,high_toxicity,-0.1786465318971441,3097.3591290955114,0.34417129862391294,0.03605943802022227,0.04089157030333497,299.5544941623373,hawkes
True,low_toxicity,-0.17851521864785316,4175.585629763519,0.19582338100856614,0.02392874615096831,0.01991424213646431,350.3525281303059,hawkes
True,medium_toxicity,-0.1782495090721769,4088.019080874126,0.21258345563901115,0.023640968085412477,0.024072635183746246,354.4630780741892,hawkes
