toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,4005.8145300666924,5903.51167,0.03418803418803419,0.029526029526029528,0.19881507381507382,0.19803807303807303,-0.12471544715447154,-0.125,362.23128723128724,hawkes__A_0.12__k_8.0__h_5,True,0.12,8.0,5
medium_toxicity,7722,3920.3836941232844,5916.45551,0.03341103341103341,0.03496503496503497,0.21082621082621084,0.2134809634809635,-0.12309659090909092,-0.125,367.07782957782956,hawkes__A_0.12__k_8.0__h_5,True,0.12,8.0,5
high_toxicity,7956,2938.558437496857,5885.91473,0.05115635997988939,0.05555555555555555,0.33125942684766213,0.33295625942684764,-0.12361601884570082,-0.125,326.1437908496732,hawkes__A_0.12__k_8.0__h_5,True,0.12,8.0,5
