toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,3668.9643063597514,5423.18133,0.015151515151515152,0.011525511525511525,0.16336441336441337,0.1642061642061642,-0.24495145631067966,-0.245,322.6819476819477,hawkes__A_0.05__k_4.0__h_3,True,0.05,4.0,3
medium_toxicity,7722,3593.865643067858,5430.68133,0.014892514892514893,0.013468013468013467,0.1741938616938617,0.17463092463092464,-0.24568493150684934,-0.245,327.0881895881896,hawkes__A_0.05__k_4.0__h_3,True,0.05,4.0,3
high_toxicity,7956,2743.321119795123,5413.80633,0.021241830065359478,0.026772247360482653,0.2961758421317245,0.29663147310206134,-0.24674083769633506,-0.245,269.9409250879839,hawkes__A_0.05__k_4.0__h_3,True,0.05,4.0,3
