toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,2120.779188721186,2974.74657,0.014245014245014245,0.011266511266511266,0.10431235431235432,0.10552641802641803,-0.16355329949238578,-0.165,361.24708624708626,baseline__A_0.05__k_6.0__h_3,False,0.05,6.0,3
medium_toxicity,7722,2056.80908500518,2958.8025,0.014115514115514115,0.01282051282051282,0.11051217301217302,0.11302123802123802,-0.1641105769230769,-0.165,344.988344988345,baseline__A_0.05__k_6.0__h_3,False,0.05,6.0,3
high_toxicity,7956,1643.6754632038712,2914.9275,0.01872800402212167,0.024509803921568627,0.18856837606837606,0.18662016088486677,-0.17444767441860468,-0.175,324.57893413775764,baseline__A_0.05__k_6.0__h_3,False,0.05,6.0,3
