toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,3800.0375447947426,5487.66773,0.022403522403522405,0.018648018648018648,0.16970991970991972,0.16938616938616938,-0.1653627760252366,-0.165,360.6222481222481,hawkes__A_0.08__k_6.0__h_1,True,0.08,6.0,1
medium_toxicity,7722,3722.777988780756,5511.66773,0.022792022792022793,0.023957523957523957,0.19334369334369333,0.1927933177933178,-0.16542936288088642,-0.165,363.4388759388759,hawkes__A_0.08__k_6.0__h_1,True,0.08,6.0,1
high_toxicity,7956,2822.4096961620157,5463.57081,0.03557063851181498,0.03996983408748114,0.31251571141277024,0.31143162393162394,-0.16548252911813643,-0.165,306.8533182503771,hawkes__A_0.08__k_6.0__h_1,True,0.08,6.0,1
