toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,2917.3396481682203,4146.74837,0.022274022274022275,0.01877751877751878,0.12754144004144005,0.12759000259000258,-0.12427444794952683,-0.125,361.991711991712,hawkes__A_0.08__k_8.0__h_3,True,0.08,8.0,3
medium_toxicity,7722,2859.7399744794093,4170.74837,0.022792022792022793,0.0236985236985237,0.14458689458689458,0.14507252007252008,-0.12440111420612815,-0.125,365.23569023569024,hawkes__A_0.08__k_8.0__h_3,True,0.08,8.0,3
high_toxicity,7956,2143.809068349673,4116.74837,0.03519356460532931,0.03971845148315736,0.23370726495726496,0.23375439919557567,-0.12465604026845638,-0.125,307.0324283559578,hawkes__A_0.08__k_8.0__h_3,True,0.08,8.0,3
