toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,2102.386204475524,2951.371545,0.015151515151515152,0.011784511784511785,0.08388370888370889,0.08381895881895882,-0.1245673076923077,-0.125,332.5854700854701,hawkes__A_0.05__k_8.0__h_1,True,0.05,8.0,1
medium_toxicity,7722,2065.096831203704,2961.871545,0.014504014504014505,0.013468013468013467,0.08797915047915048,0.0872021497021497,-0.1258101851851852,-0.125,337.51295001295,hawkes__A_0.05__k_8.0__h_1,True,0.05,8.0,1
high_toxicity,7956,1551.5015890057819,2938.246545,0.021367521367521368,0.026520864756158873,0.15026395173453996,0.1496354952237305,-0.12551181102362205,-0.125,274.9654348919055,hawkes__A_0.05__k_8.0__h_1,True,0.05,8.0,1
